POA_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
POA2216,37,2218,796,460,2050,1,1792,2.5
POA2217,38,2333,861,460,2211,1,1900,2.5
POA2218,37,2167,763,440,2036,1,1833,2.6
POA2219,45,2600,884,500,2422,0.8,1856,2.4
POA2220,34,2200,707,470,1846,1.1,1841,2.9
POA2221,42,3000,851,520,2512,0.9,2261,3
POA2222,38,2168,808,400,2094,1,1840,2.6
POA2223,40,2600,975,440,2699,0.9,2229,2.7
POA2224,45,2817,868,550,2442,0.8,2085,2.7
POA2225,40,3165,1116,655,3447,0.8,3204,3.1
POA2226,40,2800,1064,460,3028,0.9,2569,2.8
POA2227,40,2817,1032,525,2822,0.8,2338,2.7
POA2228,40,2600,938,490,2472,0.9,2009,2.5
POA2229,41,3000,1033,500,2870,0.8,2235,2.6
POA2230,42,2600,1156,500,2860,0.9,2199,2.3
POA2231,38,2600,811,550,2299,0.9,2161,3.1
POA2232,39,2500,1040,460,2655,0.9,2157,2.5
POA2233,40,2600,960,500,2683,0.8,2385,2.9
POA2234,41,2700,984,600,2901,0.8,2743,3.1
POA2250,41,2000,771,400,2102,0.8,1630,2.5
POA2251,46,2167,763,450,2192,0.8,1717,2.6
POA2256,48,2000,654,380,1758,0.8,1293,2.2
POA2257,47,2140,697,400,1871,0.8,1390,2.3
POA2258,41,2000,822,400,2234,0.8,1960,2.8
POA2259,41,1950,699,410,1875,0.8,1532,2.7
POA2260,42,2492,920,510,2528,0.8,2161,2.7
POA2261,42,2000,722,385,1908,0.8,1455,2.4
POA2262,39,1733,657,385,1596,0.8,1350,2.5
POA2263,44,1733,615,350,1492,0.8,1157,2.3
POA2264,47,1759,662,395,1656,0.7,1344,2.4
POA2265,40,2072,733,380,2030,0.8,1648,2.7
POA2267,54,1830,680,340,1670,0.8,1339,2.3
POA2278,39,1750,798,360,2070,0.8,1892,2.8
POA2280,45,2000,761,360,2096,0.8,1598,2.5
POA2281,49,2000,680,370,1825,0.8,1400,2.4
POA2282,45,2167,826,430,2287,0.8,1825,2.5
POA2283,47,1748,694,345,1810,0.7,1441,2.4
POA2284,42,1907,762,365,2063,0.8,1611,2.5
POA2285,36,1928,839,400,2171,0.8,1859,2.7
POA2286,37,1800,759,400,1985,0.8,1695,2.7
POA2287,36,1928,774,400,2117,0.8,1746,2.6
POA2289,38,2167,943,420,2545,0.8,2115,2.6
POA2290,40,1993,835,390,2242,0.8,1771,2.5
POA2291,40,2500,1097,430,3010,0.8,2302,2.5
POA2292,35,1961,913,400,2239,0.8,1761,2.3
POA2293,35,2000,1080,480,2556,0.9,1970,2.1
POA2294,36,1950,930,430,2324,0.8,1766,2.2
POA2295,45,2167,745,430,2097,0.8,1481,2.3
POA2296,35,2000,995,430,2315,0.9,1828,2.1
POA2297,36,1810,914,400,2433,0.9,2084,2.4
POA2298,36,1896,778,380,2129,0.8,1617,2.3
POA2299,34,1950,739,370,2035,0.9,1486,2.4
POA2300,38,2225,1143,435,2771,0.9,1933,1.9
POA2302,42,1929,1051,465,2319,0.9,1684,1.7
POA2303,42,2167,861,360,2460,0.8,1654,2.2
POA2304,37,1875,807,380,2104,0.8,1591,2.2
POA2305,41,2167,944,400,2565,0.8,1992,2.5
POA2306,37,1478,462,186,1007,0.9,775,2.3
POA2307,33,1679,681,377,1629,0.8,1344,2.3
POA2308,20,0,302,0,0,0,0,0
POA2311,46,1733,627,270,1687,0.8,1346,2.4
POA2312,49,1517,564,330,1379,0.8,1266,2.6
POA2315,54,1887,661,390,1640,0.7,1310,2.2
POA2316,52,1842,629,395,1579,0.7,1287,2.4
POA2317,57,1840,623,380,1498,0.7,1169,2.2
POA2318,40,1950,774,420,2052,0.8,1844,2.8
POA2319,50,1517,562,365,1365,0.7,1111,2.3
POA2320,37,1850,794,373,2108,0.8,1807,2.7
POA2321,34,1950,874,427,2176,0.8,1963,2.8
POA2322,34,1800,816,370,2090,0.8,1811,2.7
POA2323,39,1733,752,350,1967,0.8,1541,2.5
POA2324,47,1560,631,330,1482,0.7,1254,2.4
POA2325,39,1530,635,320,1646,0.8,1360,2.5
POA2326,38,1517,642,315,1655,0.8,1373,2.7
POA2327,39,1430,634,320,1589,0.8,1248,2.4
POA2328,42,1733,753,280,2042,0.7,1473,2.4
POA2329,45,1224,600,240,1478,0.8,1224,2.4
POA2330,37,1820,802,335,2272,0.8,1952,2.6
POA2331,21,0,936,0,3374,1,1625,3.3
POA2333,36,1517,761,300,2001,0.7,1640,2.5
POA2334,33,1755,803,360,2207,0.8,1929,2.8
POA2335,34,1963,916,415,2421,0.8,2207,2.9
POA2336,42,1602,757,270,2026,0.7,1505,2.4
POA2337,40,1668,823,290,2062,0.7,1561,2.4
POA2338,52,1100,569,250,1385,0.7,1006,2.1
POA2339,45,1500,687,190,1597,0.8,1312,2.4
POA2340,38,1517,784,300,1879,0.8,1468,2.5
POA2341,50,906,498,220,1214,0.7,941,2.2
POA2342,43,1543,749,255,1763,0.7,1487,2.6
POA2343,46,1138,660,240,1599,0.7,1229,2.3
POA2344,47,1562,772,320,1941,0.7,1712,2.5
POA2345,43,1300,765,290,1857,0.7,1493,2.5
POA2346,48,1170,571,260,1414,0.7,1083,2.3
POA2347,55,758,482,187,1204,0.7,852,2
POA2350,36,1500,740,290,1920,0.7,1459,2.3
POA2352,40,1400,740,320,1738,0.7,1396,2.5
POA2353,50,1484,660,220,1583,0.8,1354,2.4
POA2354,50,1083,684,200,1588,0.7,1242,2.2
POA2355,53,1067,525,300,1274,0.8,949,2.2
POA2356,54,698,454,23,974,0.8,860,2.2
